,County,County Code,State,Year,Deaths,Population
135,SANTA ROSA,12113,FL,2003,21,129536
136,SARASOTA,12115,FL,2003,50,332553
137,SARASOTA,12115,FL,2003,12,332553
138,SEMINOLE,12117,FL,2003,33,379289
139,VOLUSIA,12127,FL,2003,48,435955
140,BIBB,13021,GA,2003,13,159808
141,CHEROKEE,13057,GA,2003,13,176939
142,CLA,13063,GA,2003,18,230478
143,COBB,13067,GA,2003,34,625945
144,DEKALB,13089,GA,2003,25,632851
145,FUL,13121,GA,2003,62,828876
146,GWINNE,13135,GA,2003,21,698393
147,MUSCOGEE,13215,GA,2003,13,197280
148,RICHMOND,13245,GA,2003,14,200072
149,ROCKDALE,13247,GA,2003,11,79586
150,HAWAII,15001,HI,2003,11,171077
151,HONOLUL,15003,HI,2003,47,946405
152,HONOLUL,15003,HI,2003,15,946405
153,ADA,16001,ID,2003,17,324697
154,COOK,17031,IL,2003,410,5253850
155,COOK,17031,IL,2003,33,5253850
156,DUPAGE,17043,IL,2003,48,916963
157,LAKE,17097,IL,2003,27,704128
158,LAKE,17097,IL,2003,10,704128
159,MCHENR,17111,IL,2003,13,308926
160,MCLEA,17113,IL,2003,10,169632
161,MADIS,17119,IL,2003,13,273291
162,WILL,17197,IL,2003,26,667329
163,WINNEBAG,17201,IL,2003,25,305065
164,CLARK,18019,IN,2003,20,104309
165,DELAWARE,18035,IN,2003,18,120543
166,LAKE,18089,IN,2003,11,507391
167,MADIS,18095,IN,2003,21,132859
168,MARI,18097,IN,2003,53,863646
169,VANDERBURGH,18163,IN,2003,15,179897
170,POLK,19153,IA,2003,13,382776
171,JOHNS,20091,KS,2003,17,501111
172,JOHNS,20091,KS,2003,11,501111
173,SEDGWICK,20173,KS,2003,46,486340
174,BELL,21013,KY,2003,15,30783
175,BOONE,21015,KY,2003,11,109301
176,CAMPBELL,21037,KY,2003,13,88413
177,FAYETTE,21067,KY,2003,30,274926
178,FLOYD,21071,KY,2003,11,43881
179,HARLA,21095,KY,2003,13,32076
180,JEFFERS,21111,KY,2003,72,718578
181,JEFFERS,21111,KY,2003,16,718578
182,KE,21117,KY,2003,21,154291
183,KE,21117,KY,2003,10,154291
184,MADIS,21151,KY,2003,12,75554
185,PERR,21193,KY,2003,12,31227
186,PIKE,21195,KY,2003,19,72447
187,WARRE,21227,KY,2003,10,98338
188,WHITLE,21235,KY,2003,11,35266
189,ACADIA PARISH,22001,LA,2003,11,61357
190,ASCENSION PARISH,22005,LA,2003,11,93024
191,BOSSIER PARISH,22015,LA,2003,16,111849
192,CADDO PARISH,22017,LA,2003,22,270914
193,CALCASIEU PARISH,22019,LA,2003,25,182708
194,EAST BATON ROUGE PARISH,22033,LA,2003,22,440064
195,JEFFERSON PARISH,22051,LA,2003,86,431114
196,LAFAYETTE PARISH,22055,LA,2003,24,203061
197,LIVINGSTON PARISH,22063,LA,2003,23,119082
198,ORLEANS PARISH,22071,LA,2003,16,319474
199,ST. BERNARD PARISH,22087,LA,2003,29,30481
200,ST. LANDRY PARISH,22097,LA,2003,10,83831
201,ST. TAMMANY PARISH,22103,LA,2003,40,211952
202,TERREBONNE PARISH,22109,LA,2003,19,111878
203,CUMBERLAND,23005,ME,2003,26,269878
204,PENOBS,23019,ME,2003,15,156975
205,YORK,23031,ME,2003,16,189234
206,ALLEGA,24001,MD,2003,15,78556
207,ANNE ARUNDEL,24003,MD,2003,41,509133
208,BALTIMORE,24005,MD,2003,10,792396
209,BALTIMORE,24005,MD,2003,137,792396
210,CARROLL,24013,MD,2003,23,166101
211,CECIL,24015,MD,2003,13,99938
212,FREDERICK,24021,MD,2003,10,217079
213,HARFORD,24025,MD,2003,37,239353
214,HOWARD,24027,MD,2003,17,259854
215,MONTGOMER,24031,MD,2003,28,918326
216,PRINCE GEORGE'S,24033,MD,2003,14,829918
217,PRINCE GEORGE'S,24033,MD,2003,38,829918
218,BALTIMORE CI,24510,MD,2003,253,639904
219,BARNSTABLE,25001,MA,2003,21,217788
220,BRISTOL,25005,MA,2003,99,534821
221,ESSEX,25009,MA,2003,10,706949
222,ESSEX,25009,MA,2003,89,706949
223,HAMPDE,25013,MA,2003,50,461465
224,HAMPSHIRE,25015,MA,2003,10,158229
225,MIDDLESEX,25017,MA,2003,13,1421491
226,MIDDLESEX,25017,MA,2003,14,1421491
227,MIDDLESEX,25017,MA,2003,121,1421491
228,NORFOLK,25021,MA,2003,41,647211
229,PLYMOUTH,25023,MA,2003,48,475119
230,SUFFOLK,25025,MA,2003,12,656339
231,SUFFOLK,25025,MA,2003,117,656339
232,WORCESTER,25027,MA,2003,14,774087
233,WORCESTER,25027,MA,2003,66,774087
234,CALH,26025,MI,2003,15,136456
235,GENESEE,26049,MI,2003,12,439624
236,GENESEE,26049,MI,2003,22,439624
237,INGHAM,26065,MI,2003,14,269885
238,KALAMAZ,26077,MI,2003,11,239480
239,KE,26081,MI,2003,31,557355
240,MACOMB,26099,MI,2003,12,811270
241,MACOMB,26099,MI,2003,18,811270
242,MACOMB,26099,MI,2003,52,811270
243,MUSKEG,26121,MI,2003,12,167761
244,OAKLAND,26125,MI,2003,17,1159678
245,OAKLAND,26125,MI,2003,56,1159678
246,SAGINAW,26145,MI,2003,16,208518
247,ST. CLAIR,26147,MI,2003,11,164622
248,WAYNE,26163,MI,2003,132,1864654
249,WAYNE,26163,MI,2003,25,1864654
250,WAYNE,26163,MI,2003,26,1864654
251,ANOKA,27003,MN,2003,11,310916
252,HENNEPI,27053,MN,2003,50,1065225
253,HENNEPI,27053,MN,2003,13,1065225
254,RAMSE,27123,MN,2003,25,475483
255,ST. LOUIS,27137,MN,2003,15,200986
256,HANCOCK,28045,MS,2003,11,41574
257,HARRIS,28047,MS,2003,29,172406
258,JACKS,28059,MS,2003,23,136198
259,BOONE,29019,MO,2003,11,149776
260,CLA,29047,MO,2003,20,201678
261,GREENE,29077,MO,2003,40,261903
262,JACKS,29095,MO,2003,48,647639
263,JEFFERS,29099,MO,2003,13,213906
264,ST. CHARLES,29183,MO,2003,12,326467
265,ST. FRANCOIS,29187,MO,2003,12,64407
266,ST. LOUIS,29189,MO,2003,45,1003344
267,ST. LOUIS,29189,MO,2003,25,1003344
268,ST. LOUIS CI,29510,MO,2003,49,336168
269,MISSOULA,30063,MT,2003,11,100221
270,YELLOWSTONE,30111,MT,2003,11,138094
271,CLARK,32003,NV,2003,206,1673708
272,CLARK,32003,NV,2003,41,1673708
273,WASHOE,32031,NV,2003,36,378808
274,WASHOE,32031,NV,2003,13,378808
275,WASHOE,32031,NV,2003,10,378808
276,HILLSBOROUGH,33011,NH,2003,23,388024
277,MERRIMACK,33013,NH,2003,14,142090
278,ROCKINGHAM,33015,NH,2003,19,282231
279,STRAFFORD,33017,NH,2003,12,116885
280,ATLANTI,34001,NJ,2003,34,285755
281,BERGE,34003,NJ,2003,44,882818
282,BERGE,34003,NJ,2003,11,882818
283,BURLING,34005,NJ,2003,26,455267
284,CAMDE,34007,NJ,2003,49,519776
285,CUMBERLAND,34011,NJ,2003,14,163534
286,ESSEX,34013,NJ,2003,86,769280
287,GLOUCESTER,34015,NJ,2003,25,287100
288,HUDS,34017,NJ,2003,47,607228
289,MERCER,34021,NJ,2003,15,366801
290,MIDDLESEX,34023,NJ,2003,45,798248
291,MIDDLESEX,34023,NJ,2003,10,798248
292,MONMOUTH,34025,NJ,2003,42,638195
293,MONMOUTH,34025,NJ,2003,10,638195
294,MORRIS,34027,NJ,2003,30,494656
295,OCEA,34029,NJ,2003,34,554627
296,PASSAI,34031,NJ,2003,28,502360
297,SOMERSE,34035,NJ,2003,18,319822
298,SUSSEX,34037,NJ,2003,13,156575
299,UNI,34039,NJ,2003,27,520052
300,WARRE,34041,NJ,2003,10,110837
301,BERNALILL,35001,NM,2003,130,657649
302,BERNALILL,35001,NM,2003,14,657649
303,CHAVES,35005,NM,2003,18,66779
304,DONA ANA,35013,NM,2003,19,207141
305,RIO ARRIBA,35039,NM,2003,12,41707
306,SANDOVAL,35043,NM,2003,11,121841
307,SAN JUA,35045,NM,2003,12,134678
308,SANTA FE,35049,NM,2003,24,140625
309,VALENCIA,35061,NM,2003,17,77634
310,BRONX,36005,NY,2003,131,1351328
311,KINGS,36047,NY,2003,205,2475448
312,KINGS,36047,NY,2003,11,2475448
313,NASSA,36059,NY,2003,21,1330994
314,NEW YORK,36061,NY,2003,170,1576202
315,NEW YORK,36061,NY,2003,27,1576202
316,ONONDAGA,36067,NY,2003,10,474554
317,QUEENS,36081,NY,2003,131,2210676
318,QUEENS,36081,NY,2003,11,2210676
319,RICHMOND,36085,NY,2003,26,463920
320,SUFFOLK,36103,NY,2003,22,1514768
321,WESTCHESTER,36119,NY,2003,15,939555
322,BRUNSWICK,37019,NC,2003,10,81015
323,BUNCOMBE,37021,NC,2003,22,220338
324,BURKE,37023,NC,2003,10,90441
325,CATAWBA,37035,NC,2003,17,150427
326,CLEVELAND,37045,NC,2003,12,97678
327,CUMBERLAND,37051,NC,2003,13,326138
328,DAVIDS,37057,NC,2003,18,159347
329,DURHAM,37063,NC,2003,14,230521
330,FORSYTH,37067,NC,2003,20,326502
331,GAS,37071,NC,2003,29,189236
332,GUILFORD,37081,NC,2003,19,449748
333,GUILFORD,37081,NC,2003,10,449748
334,HENDERS,37089,NC,2003,13,96576
335,IREDELL,37097,NC,2003,12,141599
336,MECKLENBURG,37119,NC,2003,38,771481
337,NEW HANOVER,37129,NC,2003,20,176224
338,PI,37147,NC,2003,11,160560
339,ROCKINGHAM,37157,NC,2003,11,96038
340,ROWA,37159,NC,2003,10,134359
341,RUTHERFORD,37161,NC,2003,10,68419
342,WAKE,37183,NC,2003,31,740397
343,WAKE,37183,NC,2003,10,740397
344,WILKES,37193,NC,2003,15,69652
345,BUTLER,39017,OH,2003,22,355330
346,CLARK,39023,OH,2003,11,141709
347,CLERM,39025,OH,2003,11,191097
348,CUYAHOGA,39035,OH,2003,83,1303559
349,CUYAHOGA,39035,OH,2003,16,1303559
350,FRANKLI,39049,OH,2003,60,1034352
351,FRANKLI,39049,OH,2003,14,1034352
352,GREENE,39057,OH,2003,15,157822
353,HAMIL,39061,OH,2003,60,785322
354,HAMIL,39061,OH,2003,13,785322
355,JEFFERS,39081,OH,2003,11,72784
356,LICKING,39089,OH,2003,11,157910
357,LORAI,39093,OH,2003,13,293359
358,LUCAS,39095,OH,2003,19,449984
359,MAHONING,39099,OH,2003,14,246289
360,MONTGOMER,39113,OH,2003,52,538456
361,STARK,39151,OH,2003,10,378828
362,SUMMI,39153,OH,2003,48,541036
363,TRUMBULL,39155,OH,2003,20,220023
364,WARRE,39165,OH,2003,14,196558
365,CLEVELAND,40027,OK,2003,15,238066
366,OKLAHOMA,40109,OK,2003,61,659845
367,OKLAHOMA,40109,OK,2003,14,659845
368,TULSA,40143,OK,2003,88,563084
369,TULSA,40143,OK,2003,12,563084
370,CLACKAMAS,41005,OR,2003,18,336938
371,DOUGLAS,41019,OR,2003,10,104137
372,JACKS,41029,OR,2003,17,187869
373,LANE,41039,OR,2003,18,323808
374,MARI,41047,OR,2003,10,285480
375,MULTNOMAH,41051,OR,2003,70,671098
376,MULTNOMAH,41051,OR,2003,18,671098
377,MULTNOMAH,41051,OR,2003,11,671098
378,WASHING,41067,OR,2003,17,472543
379,ALLEGHE,42003,PA,2003,176,1237776
380,ALLEGHE,42003,PA,2003,11,1237776
381,ALLEGHE,42003,PA,2003,10,1237776
382,BEAVER,42007,PA,2003,20,176700
383,BEDFORD,42009,PA,2003,11,51243
384,BERKS,42011,PA,2003,27,405556
385,BLAIR,42013,PA,2003,21,131761
386,BUCKS,42017,PA,2003,57,623028
387,BUCKS,42017,PA,2003,12,623028
388,BUTLER,42019,PA,2003,13,180992
389,CAMBRIA,42021,PA,2003,20,154603
390,CHESTER,42029,PA,2003,16,481824
391,DAUPHI,42043,PA,2003,10,260403
392,DELAWARE,42045,PA,2003,47,554139
393,DELAWARE,42045,PA,2003,13,554139
394,DELAWARE,42045,PA,2003,15,554139
395,ERIE,42049,PA,2003,16,291108
396,FAYETTE,42051,PA,2003,19,141974
397,LACKAWANNA,42069,PA,2003,28,218952
398,LANCASTER,42071,PA,2003,25,500916
399,LAWRENCE,42073,PA,2003,10,95400
400,LEHIGH,42077,PA,2003,33,335290
401,LUZERNE,42079,PA,2003,46,325217
402,MERCER,42085,PA,2003,13,122338
403,MONROE,42089,PA,2003,17,170363
404,MONTGOMER,42091,PA,2003,56,778915
405,MONTGOMER,42091,PA,2003,11,778915
406,NORTHAMP,42095,PA,2003,13,291581
407,PHILADELPHIA,42101,PA,2003,238,1487544
408,PHILADELPHIA,42101,PA,2003,21,1487544
409,PHILADELPHIA,42101,PA,2003,19,1487544
410,SCHUYLKILL,42107,PA,2003,10,154276
411,SOMERSE,42111,PA,2003,10,81327
412,WASHING,42125,PA,2003,22,208974
413,WESTMORELAND,42129,PA,2003,32,379569
414,YORK,42133,PA,2003,25,423667
415,KE,44003,RI,2003,22,167408
416,PROVIDENCE,44007,RI,2003,81,621578
417,AIKE,45003,SC,2003,10,152733
418,ANDERS,45007,SC,2003,12,174111
419,CHARLES,45019,SC,2003,16,300060
420,GREENVILLE,45045,SC,2003,32,395725
421,HORR,45051,SC,2003,36,198216
422,LEXING,45063,SC,2003,12,233832
423,RICHLAND,45079,SC,2003,26,359769
424,SPARTANBURG,45083,SC,2003,21,257220
425,YORK,45091,SC,2003,10,181560
426,ANDERS,47001,TN,2003,10,73759
427,BL,47009,TN,2003,14,115054
428,DAVIDS,47037,TN,2003,62,571465
429,DAVIDS,47037,TN,2003,10,571465
430,HAMIL,47065,TN,2003,15,315035
431,HAMIL,47065,TN,2003,13,315035
432,KNOX,47093,TN,2003,54,404682
433,KNOX,47093,TN,2003,20,404682
434,RUTHERFORD,47149,TN,2003,14,205123
435,SHELB,47157,TN,2003,37,930678
436,SUMNER,47165,TN,2003,14,136888
437,WILS,47189,TN,2003,12,90201
438,BEXAR,48029,TX,2003,84,1487566
439,BEXAR,48029,TX,2003,25,1487566
440,BRAZORIA,48039,TX,2003,13,261249
441,COLLI,48085,TX,2003,26,594815
442,COMAL,48091,TX,2003,10,72091
443,DALLAS,48113,TX,2003,124,2140666
444,DALLAS,48113,TX,2003,36,2140666
445,DALLAS,48113,TX,2003,21,2140666
446,DE,48121,TX,2003,18,489024
447,ECTOR,48135,TX,2003,15,116661
448,EL PAS,48141,TX,2003,52,790090
449,FORT BEND,48157,TX,2003,11,397653
450,GALVES,48167,TX,2003,27,247149
451,HARRIS,48201,TX,2003,244,3564121
452,HARRIS,48201,TX,2003,69,3564121
453,JEFFERS,48245,TX,2003,16,248375
454,LUBBOCK,48303,TX,2003,14,254819
455,MONTGOMER,48339,TX,2003,45,335702
456,MONTGOMER,48339,TX,2003,12,335702
457,NUECES,48355,TX,2003,37,321720
458,ORANGE,48361,TX,2003,17,79973
459,PARKER,48367,TX,2003,13,96386
460,TARRA,48439,TX,2003,112,1574101
461,TARRA,48439,TX,2003,17,1574101
462,TARRA,48439,TX,2003,11,1574101
463,TAYLOR,48441,TX,2003,15,127357
464,TOM GREE,48451,TX,2003,12,104419
465,TRAVIS,48453,TX,2003,66,845543
466,TRAVIS,48453,TX,2003,13,845543
467,WEBB,48479,TX,2003,10,232674
468,WICHITA,48485,TX,2003,16,131227
469,WILLIAMS,48491,TX,2003,11,298946
470,DAVIS,49011,UT,2003,21,266106
471,SALT LAKE,49035,UT,2003,26,929613
472,SALT LAKE,49035,UT,2003,26,929613
473,SALT LAKE,49035,UT,2003,112,929613
474,UTAH,49049,UT,2003,14,426932
475,UTAH,49049,UT,2003,42,426932
476,WASHING,49053,UT,2003,11,107667
477,WEBER,49057,UT,2003,21,209506
478,CHESTERFIELD,51041,VA,2003,12,289547
479,FAIRFAX,51059,VA,2003,17,1047648
480,FAIRFAX,51059,VA,2003,11,1047648
481,HENRI,51087,VA,2003,22,290083
482,PRINCE WILLIAM,51153,VA,2003,13,359533
483,RUSSELL,51167,VA,2003,13,30826
484,TAZEWELL,51185,VA,2003,14,49278
485,CHESAPEAKE CI,51550,VA,2003,14,206313
486,NEWPORT NEWS CI,51700,VA,2003,10,182459
487,NORFOLK CI,51710,VA,2003,10,243541
488,PORTSMOUTH CI,51740,VA,2003,13,97209
489,RICHMOND CI,51760,VA,2003,30,181139
490,ROANOKE CI,51770,VA,2003,13,94217
491,VIRGINIA BEACH CI,51810,VA,2003,19,432069
492,BE,53005,WA,2003,10,154505
493,CLARK,53011,WA,2003,30,374375
494,CLARK,53011,WA,2003,10,374375
495,KING,53033,WA,2003,132,1673332
496,KING,53033,WA,2003,30,1673332
497,KING,53033,WA,2003,28,1673332
498,KITSAP,53035,WA,2003,23,233743
499,PIERCE,53053,WA,2003,77,703107
500,PIERCE,53053,WA,2003,10,703107
501,SKAGI,53057,WA,2003,12,105415
502,SNOHOMISH,53061,WA,2003,65,618247
503,SNOHOMISH,53061,WA,2003,11,618247
504,SPOKANE,53063,WA,2003,58,428688
505,SPOKANE,53063,WA,2003,16,428688
506,THURS,53067,WA,2003,17,222583
507,WHATCOM,53073,WA,2003,14,178069
508,YAKIMA,53077,WA,2003,10,238498
509,BERKELE,54003,WV,2003,17,93093
510,CABELL,54011,WV,2003,19,99926
511,KANAWHA,54039,WV,2003,27,205424
512,MERCER,54055,WV,2003,11,65966
513,MING,54059,WV,2003,10,29682
514,RALEIGH,54081,WV,2003,14,84611
515,WYOMING,54109,WV,2003,11,26468
516,DANE,55025,WI,2003,24,442235
517,MILWAUKEE,55079,WI,2003,120,953706
518,MILWAUKEE,55079,WI,2003,20,953706
519,RACINE,55101,WI,2003,13,193618
520,WAUKESHA,55133,WI,2003,17,378079
521,BALDWI,1003,AL,2004,18,155947
522,JEFFERS,1073,AL,2004,42,656665
523,MADIS,1089,AL,2004,12,313192
524,MOBILE,1097,AL,2004,27,412646
525,MONTGOMER,1101,AL,2004,10,232117
526,MORGA,1103,AL,2004,11,120799
527,ANCHORAGE BOROUGH,2020,AK,2004,26,299656
528,KENAI PENINSULA BOROUGH,2122,AK,2004,12,53656
529,MARICOPA,4013,AZ,2004,320,3356974
530,MARICOPA,4013,AZ,2004,65,3356974
531,MARICOPA,4013,AZ,2004,32,3356974
532,MOHAVE,4015,AZ,2004,10,195153
533,NAVAJ,4017,AZ,2004,12,105010
534,PIMA,4019,AZ,2004,132,938577
535,PIMA,4019,AZ,2004,23,938577
536,PINAL,4021,AZ,2004,17,316169
537,YAVAPAI,4025,AZ,2004,24,191273
538,YAVAPAI,4025,AZ,2004,12,191273
539,YAVAPAI,4025,AZ,2004,12,191273
540,PULASKI,5119,AR,2004,17,379517
541,PULASKI,5119,AR,2004,18,379517
542,ALAMEDA,6001,CA,2004,113,1392497
543,ALAMEDA,6001,CA,2004,19,1392497
544,BUTTE,6007,CA,2004,31,209622
545,CONTRA COSTA,6013,CA,2004,77,976421
546,CONTRA COSTA,6013,CA,2004,15,976421
547,EL DORAD,6017,CA,2004,13,171531
548,FRES,6019,CA,2004,85,883147
549,HUMBOLD,6023,CA,2004,25,133062
550,IMPERIAL,6025,CA,2004,10,169085
551,KER,6029,CA,2004,75,799541
552,KER,6029,CA,2004,15,799541
553,KINGS,6031,CA,2004,11,152989
554,LOS ANGELES,6037,CA,2004,542,9627066
555,LOS ANGELES,6037,CA,2004,91,9627066
556,LOS ANGELES,6037,CA,2004,32,9627066
557,MADERA,6039,CA,2004,11,145647
558,MARI,6041,CA,2004,16,249616
559,MERCED,6047,CA,2004,11,243855
560,MONTERE,6053,CA,2004,43,404119
561,ORANGE,6059,CA,2004,161,2904404
562,ORANGE,6059,CA,2004,62,2904404
563,ORANGE,6059,CA,2004,19,2904404
564,PLACER,6061,CA,2004,20,319290
565,RIVERSIDE,6065,CA,2004,140,2014775
566,RIVERSIDE,6065,CA,2004,25,2014775
567,SACRAME,6067,CA,2004,135,1323745
568,SACRAME,6067,CA,2004,29,1323745
569,SACRAME,6067,CA,2004,14,1323745
570,SAN BERNARDI,6071,CA,2004,35,1945343
571,SAN BERNARDI,6071,CA,2004,30,1945343
572,SAN BERNARDI,6071,CA,2004,10,1945343
573,SAN DIEG,6073,CA,2004,225,2926672
574,SAN DIEG,6073,CA,2004,61,2926672
575,SAN FRANCIS,6075,CA,2004,74,746754
576,SAN FRANCIS,6075,CA,2004,18,746754
577,SAN JOAQUI,6077,CA,2004,51,634294
578,SAN JOAQUI,6077,CA,2004,12,634294
579,SAN LUIS OBISP,6079,CA,2004,23,258870
580,SAN MATE,6081,CA,2004,44,686058
581,SANTA BARBARA,6083,CA,2004,27,405848
582,SANTA CLARA,6085,CA,2004,87,1679065
583,SANTA CLARA,6085,CA,2004,23,1679065
584,SANTA CRUZ,6087,CA,2004,18,254184
585,SHASTA,6089,CA,2004,35,175448
586,SOLA,6095,CA,2004,18,385837
587,SONOMA,6097,CA,2004,48,472301
588,STANISLAUS,6099,CA,2004,66,485522
589,STANISLAUS,6099,CA,2004,10,485522
590,TULARE,6107,CA,2004,39,427449
591,TUOLUMNE,6109,CA,2004,14,55284
592,VENTURA,6111,CA,2004,43,806966
593,VENTURA,6111,CA,2004,12,806966
594,ADAMS,8001,CO,2004,35,391611
595,ADAMS,8001,CO,2004,11,391611
596,ARAPAHOE,8005,CO,2004,49,518574
597,ARAPAHOE,8005,CO,2004,16,518574
598,BOULDER,8013,CO,2004,20,274137
599,DENVER,8031,CO,2004,94,519943
